stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,distance_to_lausanne_flon,distance_to_epfl
Parent8501118,Renens VD,46.53704053,6.57893775,1.0,,4.337270863518643,1.920321237856499
Parent8501210,"Lausanne, Bourdonnette",46.52326494,6.58980736,1.0,,3.122143458638007,1.8201447694247035
Parent8501211,"Chavannes-R., UNIL-Chamberonne",46.5242168,6.58470493,1.0,,3.5221254966464,1.442340956261899
Parent8501212,"Chavannes-R., UNIL-Mouline",46.5249894,6.57889283,1.0,,3.9749025195150227,1.0268539746256873
Parent8501213,"Ecublens VD, UNIL-Sorge",46.52244905,6.57357481,1.0,,4.359527239307276,0.5714251078108221
Parent8501214,"Ecublens VD, EPFL",46.52219563,6.56613676,1.0,,4.928861251725174,0.0
Parent8501215,"Ecublens VD, Bassenges",46.52458765,6.56459165,1.0,,5.062415169340856,0.29113333029547717
Parent8501216,"Ecublens VD, Cerisaie",46.52775213,6.56654998,1.0,,4.955116058692918,0.6184824616178409
Parent8501217,"Chavannes-R., Crochy",46.53271479,6.56997256,1.0,,4.817329714048065,1.2057928752510805
Parent8501218,"Ecublens VD, Epenex",46.53771408,6.57358379,1.0,,4.74301547976599,1.8172092770139836
Parent8501245,St-Sulpice VD (lac),46.50858321,6.56122297,1.0,,5.475179158885849,1.559453725539303
Parent8507227,"Chavannes-R., Cèdres",46.53015626,6.57291005,1.0,,4.5274771786173105,1.0262310496872782
Parent8510422,"Chavannes-R., Talluchet",46.52865446,6.58344729,1.0,,3.702382929760513,1.5098187917172026
Parent8510525,"St-Sulpice VD, Castolin",46.51342398,6.54639179,1.0,,6.493961841359592,1.8018131704873688
Parent8510526,"St-Sulpice VD, En Champagny",46.51377636,6.54976945,1.0,,6.231877188782142,1.5663326947337102
Parent8510527,"St-Sulpice VD, Ochettaz-Ormet",46.51379491,6.55643495,1.0,,5.724483823635273,1.1942846114075112
Parent8510528,"St-Sulpice VD, Pré-Fleuri",46.51521675,6.56061212,1.0,,5.386533566448334,0.8840608974945908
Parent8510721,"Ecublens VD, Epenex/Pont-Bleu",46.53848648,6.57516482,1.0,,4.667393905779849,1.9388561990084638
Parent8510727,"Ecublens VD, EPFL/Colladon",46.51807888,6.56359452,1.0,,5.130595775220819,0.49746831295291477
Parent8511813,"Ecublens VD, Campus des médias",46.51744218,6.56974798,1.0,,4.664466700222701,0.5966529521518733
Parent8530749,"Renens VD, gare",46.53762139,6.57851554,1.0,,4.393815506162615,1.9601837138455855
Parent8579231,"St-Sulpice VD, Venoge sud",46.5128305,6.5463289,1.0,,6.507435234812772,1.8423383591348617
Parent8579233,"Ecublens VD, EPFL (bus)",46.52205964,6.56687337,1.0,,4.871915552014561,0.058507775577345635
Parent8579234,"Ecublens VD, EPFL Piccard",46.52030419,6.56846339,1.0,,4.748287304902202,0.27582556145563547
Parent8588155,"St-Sulpice VD, Chantres",46.51048124,6.55353339,1.0,,6.004681153917423,1.6220746007850362
Parent8588156,"St-Sulpice VD, Laviau",46.51127876,6.55061387,1.0,,6.208982235688062,1.7004856517788542
Parent8588157,"St-Sulpice VD, Bochet",46.51333743,6.55947126,1.0,,5.501198827495026,1.1096131126526005
Parent8588158,"St-Sulpice VD, centre",46.51007938,6.55810582,1.0,,5.6698865728518335,1.481164230805185
Parent8588838,"Renens VD, gare nord",46.53754724,6.57933301,1.0,,4.333598894807092,1.9842327376387032
Parent8588872,"Denges, Les Oches",46.52615137,6.54167563,1.0,,6.8290977326924445,1.9276904557359222
Parent8588873,"Ecublens VD, Pontet",46.52978545,6.56601997,1.0,,5.035127645137863,0.8437440527685767
Parent8588983,"Renens VD, gare sud",46.53662033,6.57935097,1.0,,4.289114835724788,1.8970867603128887
Parent8591933,"Chavannes-R., Planta",46.53419794,6.57302683,1.0,,4.642657552083201,1.4351047476642638
Parent8591944,"Ecublens VD, Argand",46.52033509,6.57186801,1.0,,4.487014839936,0.48597933020428347
Parent8591945,"Ecublens VD, Champagne",46.51831996,6.57299988,1.0,,4.408566861761059,0.6804079572124676
Parent8591946,"Ecublens VD, Cocarde",46.52796226,6.56043245,1.0,,5.42262375572846,0.7761939006568966
Parent8591947,"Ecublens VD, Coquerellaz",46.52437132,6.5608367,1.0,,5.3477606499547985,0.47315487784016386
Parent8591948,"Ecublens VD, Croset",46.53469231,6.56637032,1.0,,5.145198194994076,1.389267001943431
Parent8591949,"Ecublens VD, En Enjalin",46.52421062,6.55707275,1.0,,5.634592495554616,0.7306605873609209
Parent8591950,"Ecublens VD, allée de Dorigny",46.52048344,6.58223457,1.0,,3.691416327904452,1.2498035454924463
Parent8591951,"Ecublens VD, Motty",46.52587324,6.56157331,1.0,,5.306468321312792,0.5382640593168567
Parent8591952,"Ecublens VD, Ormet",46.52360489,6.55886938,1.0,,5.492851348385312,0.5792155783209862
Parent8591953,"Ecublens VD, Parc",46.53697256,6.56806813,1.0,,5.104669628920238,1.6492978271184686
Parent8591954,"Ecublens VD, Perrettes",46.52620081,6.55845616,1.0,,5.548156020638031,0.7385946761284352
Parent8591955,"Ecublens VD, place de sport",46.53526084,6.56382809,1.0,,5.350197789373792,1.463111363013016
Parent8591956,"Ecublens VD, Renges",46.5225294,6.55474612,1.0,,5.8036167062751085,0.8748036712721599
Parent8591957,"Ecublens VD, Stand",46.53275805,6.56248061,1.0,,5.373502888808048,1.2071797190404143
Parent8591958,"Ecublens VD, Suchet-Forêt",46.53987061,6.57054748,1.0,,5.053446450896828,1.9937070480137107
Parent8591959,"Ecublens VD, Champs-Courbes",46.51634184,6.55009284,1.0,,6.177730236851188,1.3925269469449773
Parent8591960,"Ecublens VD, Veilloud",46.5312625,6.56449284,1.0,,5.184308169359398,1.015749267981032
Parent8591961,"Ecublens VD, Villars",46.52952588,6.56112416,1.0,,5.398567582333091,0.9010456492170669
Parent8592209,"Renens VD, Censuy",46.53238108,6.58396831,1.0,,3.783625649651028,1.7758589764681703
Parent8592210,"Renens VD, Chêne",46.52905,6.59012177,1.0,,3.219229287045312,1.991785856768492
Parent8592218,"Renens VD, Caudray",46.531726,6.58591766,1.0,,3.6182695821733133,1.8508679870939655
Parent8592226,"St-Sulpice VD, Russel",46.51513639,6.56390893,1.0,,5.136403042817211,0.8031213742186821
Parent8592227,"St-Sulpice VD, Pâqueret",46.5164902,6.57063732,1.0,,4.606282218559885,0.7221551709412897
Parent8592239,"Denges, La Pale",46.51888247,6.54219665,1.0,,6.766953726355926,1.873568212164304
Parent8592242,"Denges, village",46.52326494,6.54054375,1.0,,6.895609996021256,1.9673611358398944
Parent8592248,"Ecublens VD, Larges Pièces",46.53201028,6.55531206,1.0,,5.889869036870207,1.3711563750160696
Parent8593866,"Chavannes-R., Préfaully",46.53358615,6.57909945,1.0,,4.180439343422802,1.6100761757824942
Parent8593867,"Chavannes-R., Plaine",46.52856794,6.5723531,1.0,,4.532207311737499,0.853966857514663
Parent8593868,"Chavannes-R., Concorde",46.532344,6.57432041,1.0,,4.485583005934057,1.2910727229005237
Parent8593869,"Chavannes-R., Glycines",46.53628046,6.57657518,1.0,,4.469531220645424,1.7586233862764131
Parent8594890,"Ecublens VD, Montaney",46.51882066,6.55278779,1.0,,5.954957049506473,1.0908591752891001
Parent8594986,"Chavannes-R., Berges",46.52749255,6.57496719,1.0,,4.313296776136906,0.8976410497717563
Parent8594987,"Chavannes-R., Mouline",46.52617609,6.57934199,1.0,,3.958397859627813,1.1056194392738896
Parent8594988,"St-Sulpice VD, Venoge nord",46.51382582,6.54561923,1.0,,6.547314819261986,1.828815032407993
Parent8595223,"St-Sulpice VD, Parc Scient.",46.51658293,6.56378317,1.0,,5.128728911618356,0.6495296002748707
Parent8595521,"Lausanne, Bourdonnette nord",46.52489051,6.58922346,1.0,,3.187461030524388,1.7965812586736623
Parent8595534,"Renens VD, piscine",46.53040347,6.58527087,1.0,,3.6190273309498844,1.7285003264400065
Parent8595602,"Chavannes-R., Dorigny",46.52675707,6.58391441,1.0,,3.6231994376678958,1.4552416034461344
Parent8595937,"Lausanne, sports UNIL-EPFL",46.5210583,6.58583681,1.0,,3.414941302832583,1.516904979986686
Parent8596053,"Ecublens VD, Blévallaire",46.51956861,6.57729383,1.0,,4.0727006626506945,0.9045524823587556
